




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_True_MC_False_VG_False.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_True_MC_False_VG_False.txt (2)	FS_True_MC_False_VG_False.txt (expected)	FS_True_MC_False_VG_False.txt (over/under)	FS_True_MC_False_VG_False.txt (fold Enrichment)	FS_True_MC_False_VG_False.txt (raw P-value)	FS_True_MC_False_VG_False.txt (FDR)
nitrogen compound transport (GO:0071705)	80	0	.18	-	 < 0.01	1.00E00	1.00E00
co-translational protein modification (GO:0043686)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar biosynthetic process (GO:0009226)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
carboxylic acid transport (GO:0046942)	51	0	.12	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar metabolic process (GO:0009225)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
organic substance transport (GO:0071702)	120	0	.27	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate phosphorylation (GO:0046940)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
homeostatic process (GO:0042592)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
protein localization to endoplasmic reticulum (GO:0070972)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
aerobic electron transport chain (GO:0019646)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol biosynthetic process (GO:0016024)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell cycle (GO:0007049)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
gluconate transmembrane transport (GO:0035429)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleotide metabolic process (GO:0009219)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide metabolic process (GO:0009218)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside triphosphate biosynthetic process (GO:0009212)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside triphosphate metabolic process (GO:0009211)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to chemical (GO:0042221)	32	0	.07	-	 < 0.01	1.00E00	1.00E00
response to oxygen radical (GO:0000305)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
organophosphate metabolic process (GO:0019637)	133	0	.30	-	 < 0.01	1.00E00	1.00E00
response to superoxide (GO:0000303)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to reactive oxygen species (GO:0000302)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
catabolite repression (GO:0061984)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
shikimate metabolic process (GO:0019632)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
canonical glycolysis (GO:0061621)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribitol phosphate metabolic process (GO:0052648)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolytic process through glucose-6-phosphate (GO:0061620)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pentitol phosphate metabolic process (GO:0052647)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alditol phosphate metabolic process (GO:0052646)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside triphosphate metabolic process (GO:0009205)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid catabolic process (GO:0042219)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribonucleoside triphosphate biosynthetic process (GO:0009201)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
propionate catabolic process, 2-methylcitrate cycle (GO:0019629)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
urate catabolic process (GO:0019628)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
urea metabolic process (GO:0019627)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acid catabolic process (GO:0019626)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
charged-tRNA amino acid modification (GO:0019988)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolytic process through fructose-6-phosphate (GO:0061615)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid biosynthetic process (GO:0043650)	25	0	.06	-	 < 0.01	1.00E00	1.00E00
diol metabolic process (GO:0034311)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein localization (GO:0008104)	16	0	.04	-	 < 0.01	1.00E00	1.00E00
nitrate import (GO:1902025)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid catabolic process (GO:0043649)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
intracellular transport (GO:0046907)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid metabolic process (GO:0043648)	46	0	.10	-	 < 0.01	1.00E00	1.00E00
secretion (GO:0046903)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
primary alcohol biosynthetic process (GO:0034309)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
primary alcohol metabolic process (GO:0034308)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolylpolyglutamate biosynthetic process (GO:0046901)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair (GO:0006289)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolylpolyglutamate metabolic process (GO:0046900)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pteridine-containing compound biosynthetic process (GO:0042559)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
transcription-coupled nucleotide-excision repair (GO:0006283)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pteridine-containing compound metabolic process (GO:0042558)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA repair (GO:0006281)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside phosphate biosynthetic process (GO:1901293)	75	0	.17	-	 < 0.01	1.00E00	1.00E00
ncRNA catabolic process (GO:0034661)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside phosphate catabolic process (GO:1901292)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
ncRNA metabolic process (GO:0034660)	37	0	.08	-	 < 0.01	1.00E00	1.00E00
siderophore-dependent iron import into cell (GO:0033214)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
butyrate metabolic process (GO:0019605)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
iron import into cell (GO:0033212)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA replication (GO:0006275)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule catabolic process (GO:0034656)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound catabolic process (GO:0034655)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of metabolic process (GO:0009893)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of metabolic process (GO:0009892)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
cell wall biogenesis (GO:0042546)	33	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of biosynthetic process (GO:0009891)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of biosynthetic process (GO:0009890)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
organelle assembly (GO:0070925)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
response to hydrogen peroxide (GO:0042542)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of developmental process (GO:0050793)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
regulatory ncRNA 3'-end processing (GO:0043628)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated transcription in response to stress (GO:0043620)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
organic acid phosphorylation (GO:0031388)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
benzene-containing compound metabolic process (GO:0042537)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA replication (GO:0006260)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lipooligosaccharide biosynthetic process (GO:1901271)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to stress (GO:0033554)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of response to nutrient levels (GO:0032107)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfate transmembrane transport (GO:1902358)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sodium ion transmembrane transport (GO:0035725)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of response to extracellular stimulus (GO:0032104)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of response to external stimulus (GO:0032101)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA metabolic process (GO:0006259)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
lipooligosaccharide metabolic process (GO:1901269)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of carbohydrate utilization (GO:0043610)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative transport (GO:1901264)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
amide transport (GO:0042886)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA 5'-end processing (GO:0000966)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dephosphorylation (GO:0016311)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphorylation (GO:0016310)	67	0	.15	-	 < 0.01	1.00E00	1.00E00
formamide metabolic process (GO:0043606)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
amide catabolic process (GO:0043605)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
amide biosynthetic process (GO:0043604)	120	0	.27	-	 < 0.01	1.00E00	1.00E00
amide metabolic process (GO:0043603)	140	0	.32	-	 < 0.01	1.00E00	1.00E00
'de novo' NAD biosynthetic process from aspartate (GO:0034628)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' NAD biosynthetic process (GO:0034627)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to membrane (GO:0090150)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
N-terminal protein amino acid modification (GO:0031365)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CTP biosynthetic process (GO:0006241)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aldonate transmembrane transport (GO:0042873)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-valine transmembrane transport (GO:1903785)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein transport by the Tat complex (GO:0043953)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
polyamine catabolic process (GO:0006598)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein transport by the Sec complex (GO:0043952)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
dTTP biosynthetic process (GO:0006235)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
polyamine biosynthetic process (GO:0006596)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
polyamine metabolic process (GO:0006595)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
dTDP biosynthetic process (GO:0006233)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to reactive oxygen species (GO:0034614)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dTMP biosynthetic process (GO:0006231)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ornithine biosynthetic process (GO:0006592)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ornithine metabolic process (GO:0006591)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
clearance of foreign intracellular nucleic acids (GO:0099046)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UTP biosynthetic process (GO:0006228)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dUDP biosynthetic process (GO:0006227)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of RNA biosynthetic process (GO:1902680)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribosome disassembly (GO:0032790)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP biosynthetic process (GO:0006225)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
indolalkylamine metabolic process (GO:0006586)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
uracil salvage (GO:0006223)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UMP biosynthetic process (GO:0006222)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide biosynthetic process (GO:0006221)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide metabolic process (GO:0006220)	18	0	.04	-	 < 0.01	1.00E00	1.00E00
L-alanine catabolic process (GO:0042853)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid glycosylation (GO:0030259)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid modification (GO:0030258)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
L-alanine metabolic process (GO:0042851)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribonucleoside bisphosphate metabolic process (GO:0033875)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
L-lysine catabolic process to acetyl-CoA via saccharopine (GO:0033512)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of molecular function (GO:0065009)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of biological quality (GO:0065008)	20	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of RNA biosynthetic process (GO:1902679)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid metabolic process (GO:0032787)	95	0	.22	-	 < 0.01	1.00E00	1.00E00
protein-containing complex assembly (GO:0065003)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of sporulation (GO:0043937)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
intracellular protein transmembrane transport (GO:0065002)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated transcription elongation (GO:0032784)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-containing complex organization (GO:0043933)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
cytidine catabolic process (GO:0006216)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine biosynthetic process (GO:0006578)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine metabolic process (GO:0006577)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
biogenic amine metabolic process (GO:0006576)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid metabolic process (GO:0006575)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside metabolic process (GO:0006213)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
valine catabolic process (GO:0006574)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
valine metabolic process (GO:0006573)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
thymine catabolic process (GO:0006210)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tyrosine biosynthetic process (GO:0006571)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tyrosine metabolic process (GO:0006570)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycol metabolic process (GO:0042844)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
D-glucuronate catabolic process (GO:0042840)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
antibiotic metabolic process (GO:0016999)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleoside bisphosphate biosynthetic process (GO:0033866)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleoside bisphosphate metabolic process (GO:0033865)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA methylation on cytosine (GO:0032776)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
C-5 methylation of cytosine (GO:0090116)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase catabolic process (GO:0006208)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
tryptophan metabolic process (GO:0006568)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase metabolic process (GO:0006206)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
threonine catabolic process (GO:0006567)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular biosynthetic process (GO:0031328)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
threonine metabolic process (GO:0006566)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular biosynthetic process (GO:0031327)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
L-serine catabolic process (GO:0006565)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
D-glucuronate metabolic process (GO:0042839)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular metabolic process (GO:0031325)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-serine biosynthetic process (GO:0006564)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-serine metabolic process (GO:0006563)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
D-glucarate catabolic process (GO:0042838)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular metabolic process (GO:0031324)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
organic substance catabolic process (GO:1901575)	131	0	.30	-	 < 0.01	1.00E00	1.00E00
proline catabolic process (GO:0006562)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
proline biosynthetic process (GO:0006561)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
D-glucarate metabolic process (GO:0042836)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
proline metabolic process (GO:0006560)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
cytokinesis (GO:0000910)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
secondary alcohol biosynthetic process (GO:1902653)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
secondary alcohol metabolic process (GO:1902652)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
L-phenylalanine metabolic process (GO:0006558)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine biosynthetic process (GO:0006556)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methionine metabolic process (GO:0006555)	19	0	.04	-	 < 0.01	1.00E00	1.00E00
organonitrogen compound biosynthetic process (GO:1901566)	326	0	.74	-	 < 0.01	5.34E-01	1.00E00
lysine catabolic process (GO:0006554)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lysine metabolic process (GO:0006553)	12	0	.03	-	 < 0.01	1.00E00	1.00E00
purine nucleobase transmembrane transport (GO:1904823)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
organonitrogen compound catabolic process (GO:1901565)	52	0	.12	-	 < 0.01	1.00E00	1.00E00
organonitrogen compound metabolic process (GO:1901564)	385	0	.87	-	 < 0.01	5.08E-01	1.00E00
leucine metabolic process (GO:0006551)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
pyridoxal phosphate biosynthetic process (GO:0042823)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pyridoxal phosphate metabolic process (GO:0042822)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to nutrient (GO:0031670)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell morphogenesis (GO:0000902)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
isoleucine metabolic process (GO:0006549)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
histidine catabolic process (GO:0006548)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
histidine metabolic process (GO:0006547)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to nutrient levels (GO:0031669)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine biosynthetic process (GO:0006545)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to extracellular stimulus (GO:0031668)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine metabolic process (GO:0006544)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin B6 biosynthetic process (GO:0042819)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to nutrient levels (GO:0031667)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamine catabolic process (GO:0006543)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamine biosynthetic process (GO:0006542)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamine metabolic process (GO:0006541)	20	0	.05	-	 < 0.01	1.00E00	1.00E00
vitamin B6 metabolic process (GO:0042816)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
carnitine transport (GO:0015879)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate catabolic process (GO:0006538)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate biosynthetic process (GO:0006537)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamate metabolic process (GO:0006536)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
choline transport (GO:0015871)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine biosynthetic process from serine (GO:0006535)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
cysteine metabolic process (GO:0006534)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
aspartate metabolic process (GO:0006531)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
ammonium transmembrane transport (GO:0072488)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3,4-dihydroxybenzoate biosynthetic process (GO:0046279)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3,4-dihydroxybenzoate metabolic process (GO:0046278)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan metabolic process (GO:0030203)	19	0	.04	-	 < 0.01	1.00E00	1.00E00
cytoplasmic translation (GO:0002181)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
asparagine biosynthetic process (GO:0006529)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
asparagine metabolic process (GO:0006528)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization (GO:0045184)	16	0	.04	-	 < 0.01	1.00E00	1.00E00
arginine catabolic process (GO:0006527)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arginine biosynthetic process (GO:0006526)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
arginine metabolic process (GO:0006525)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
intracellular protein transport (GO:0006886)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
alanine catabolic process (GO:0006524)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of pH (GO:0006885)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alanine biosynthetic process (GO:0006523)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alanine metabolic process (GO:0006522)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
amino acid metabolic process (GO:0006520)	159	0	.36	-	 < 0.01	1.00E00	1.00E00
ammonium ion metabolic process (GO:0097164)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of molecular function (GO:0044093)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of molecular function (GO:0044092)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside transport (GO:0015858)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
peptide metabolic process (GO:0006518)	87	0	.20	-	 < 0.01	1.00E00	1.00E00
intracellular iron ion homeostasis (GO:0006879)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleobase transport (GO:0015851)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
organic hydroxy compound transport (GO:0015850)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
intracellular calcium ion homeostasis (GO:0006874)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intracellular monoatomic ion homeostasis (GO:0006873)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular component biogenesis (GO:0044085)	53	0	.12	-	 < 0.01	1.00E00	1.00E00
organic acid transport (GO:0015849)	51	0	.12	-	 < 0.01	1.00E00	1.00E00
carnitine transmembrane transport (GO:1902603)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proton transmembrane transport (GO:1902600)	32	0	.07	-	 < 0.01	1.00E00	1.00E00
proteolysis (GO:0006508)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid transport (GO:0006869)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amino acid transport (GO:0006865)	41	0	.09	-	 < 0.01	1.00E00	1.00E00
purine nucleobase transport (GO:0006863)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
response to zinc ion (GO:0010043)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine transport (GO:0015838)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
organophosphate biosynthetic process (GO:0090407)	112	0	.25	-	 < 0.01	1.00E00	1.00E00
amine transport (GO:0015837)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide transport (GO:0015833)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
acetoin biosynthetic process (GO:0045151)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acetoin catabolic process (GO:0045150)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
response to iron ion (GO:0010039)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
response to metal ion (GO:0010038)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
response to inorganic substance (GO:0010035)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
response to organic substance (GO:0010033)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
galacturonan metabolic process (GO:0010393)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
valine transport (GO:0015829)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acetoin metabolic process (GO:0045149)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
proline transport (GO:0015824)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
leucine transport (GO:0015820)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
rhamnose metabolic process (GO:0019299)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid transport (GO:0006842)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
siderophore biosynthetic process (GO:0019290)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
isoleucine transport (GO:0015818)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid transport (GO:0015812)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-cystine transport (GO:0015811)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartate transmembrane transport (GO:0015810)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid transport (GO:0006835)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
